Ration_ID,Name,Age,Gender,Address,Phone_No,Aadhaar_ID,Block,Income_Level,Dependent1_Name,Dependent1_Aadhaar_ID,Dependent1_Relation,Dependent1_Age,Dependent2_Name,Dependent2_Aadhaar_ID,Dependent2_Relation,Dependent2_Age,Dependent3_Name,Dependent3_Aadhaar_ID,Dependent3_Relation,Dependent3_Age,Dependent4_Name,Dependent4_Aadhaar_ID,Dependent4_Relation,Dependent4_Age,Dependent5_Name,Dependent5_Aadhaar_ID,Dependent5_Relation,Dependent5_Age,Rice_Entitled,Rice_Claimed,Wheat_Entitled,Wheat_Claimed,Sugar_Entitled,Sugar_Claimed,Kerosene_Entitled,Kerosene_Claimed,ToorDal_Entitled,ToorDal_Claimed,ChanaDal_Entitled,ChanaDal_Claimed,UradDal_Entitled,UradDal_Claimed,Salt_Entitled,Salt_Claimed,MustardOil_Entitled,MustardOil_Claimed,SunflowerOil_Entitled,SunflowerOil_Claimed,Subsidy_Availed,Percent_Ration_Left,Num_Dependents,Over_Claim_Flag,Duplicate_Aadhaar_Flag,Income_Subsidy_Mismatch,Fraud_Label
RAT10000,Garima Patel,41,Female,"H.No. 552, Gaba Ganj, Saharanpur 644293",5193485860095,288345054361,Block1,High,,,,,,,,,,,,,,,,,,,,,1,2,3,3,2,2,5,5,3,3,2,2,5,5,1,1,3,3,5,5,Yes,-3.33,0,1,0,1,1
RAT10001,Nakul Savant,57,Female,"H.No. 751, Nazareth, Chinsurah 656254",3371777167793,545716965639,Block3,Medium,,,,,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,5,2,2,4,7,5,5,5,5,1,3,3,4,No,-15.38,0,1,0,0,1
RAT10002,Kiaan Naik,54,Female,"80/22, Shere Path, Siliguri-072838",8418588499366,778403466052,Block2,Medium,,,,,,,,,,,,,,,,,,,,,2,2,4,6,4,6,1,1,1,1,1,1,1,1,4,6,4,4,4,4,No,-23.08,0,1,0,0,1
RAT10003,Harsh Doshi,56,Male,"285, Sant Ganj, Dhanbad-256247",5580194037685,755836008188,Block4,Low,Vivaan,738258262300,Spouse,42,Pranit,557464877864,Spouse,41,,,,,,,,,,,,,4,4,1,1,2,4,4,4,5,5,3,3,5,5,4,4,4,4,2,2,Yes,-5.88,2,1,0,0,1
RAT10004,Ladli Vora,63,Female,"H.No. 661, Chowdhury Chowk, Satna 036114",1413164373594,452537736762,Block1,Medium,Utkarsh,335837181056,Daughter,24,Advay,914376428234,Spouse,15,Harini,357882638826,Spouse,53,Tanveer,406413937228,Spouse,60,,,,,3,3,5,8,4,4,3,4,3,3,2,2,1,1,3,6,3,3,5,5,Yes,-21.88,4,1,0,0,1
RAT10005,Nirja Mistry,48,Female,"09/371, Singhal Marg, Etawah-991875",7793372448523,437289444753,Block2,Medium,Falak,307540253350,Parent,16,Jeevika,907403487472,Parent,20,Harrison,674875825522,Spouse,37,Faras,600653919042,Parent,51,,,,,2,2,5,6,5,5,3,3,5,5,4,4,2,3,5,5,5,5,1,1,Yes,-5.41,4,1,0,0,1
RAT10006,Charita Sagar,25,Male,"H.No. 568, Gulati Zila, Bhind-479034",6487503601828,119041768667,Block3,Medium,Karan,494867284880,Parent,21,Jeremiah,827298808748,Spouse,52,Harsh,905846941634,Spouse,14,,,,,,,,,2,2,5,5,1,1,5,5,2,2,1,1,1,1,3,3,5,5,1,3,Yes,-7.69,3,1,0,0,1
RAT10007,Saanvi Choudhary,55,Female,"97/379, Balan Road, Navi Mumbai-591663",8373835823620,456889605662,Block3,High,Tejas,690385899852,Son,33,William,172574334569,Son,9,Rehaan,709441597182,Daughter,51,,,,,,,,,1,1,5,5,2,2,2,2,1,1,3,3,1,1,4,4,3,6,3,3,No,-12.0,3,1,0,0,1
RAT10008,Ati Dani,32,Male,"991, Johal Road, Navi Mumbai 805428",2845332758654,825982890035,Block5,Medium,Robert,895648412744,Spouse,57,Hemal,308757366813,Daughter,44,,,,,,,,,,,,,2,2,3,6,1,1,3,3,1,2,4,4,1,3,4,4,5,5,3,3,No,-22.22,2,1,0,0,1
RAT10009,Kai Nagy,34,Female,"H.No. 90, Sandhu Marg, Sambalpur 727935",4407905718260,666367020441,Block2,High,Pranit,548014152969,Parent,41,Timothy,544856801057,Parent,10,Oeshi,976243478962,Parent,47,Falan,736248165776,Parent,37,,,,,3,3,2,2,2,2,5,5,2,2,4,4,1,1,1,1,4,4,4,5,No,-3.57,4,1,0,0,1
RAT10010,Indali Gade,39,Male,"H.No. 52, Thaker Ganj, Davanagere 358401",0963473353925,810564209727,Block1,High,Niharika,512155107808,Spouse,41,Chaaya,788656007862,Daughter,1,Maya,580744989876,Parent,12,,,,,,,,,2,2,3,3,2,2,5,5,4,4,1,1,3,3,4,4,2,2,2,2,Yes,0.0,3,0,0,1,1
RAT10011,Samarth Chanda,47,Male,"H.No. 383, Murty Zila, Tiruchirappalli-121136",8242311215843,633937450130,Block5,High,Saanvi,625094966893,Parent,48,Vedhika,938772782102,Spouse,58,Peter,152411263852,Daughter,36,Siddharth,533138146033,Son,8,,,,,4,6,1,1,5,5,2,2,5,5,2,2,5,8,2,2,5,5,4,4,No,-14.29,4,1,0,0,1
RAT10012,Sanaya Bala,66,Male,"H.No. 78, Ahluwalia Circle, Muzaffarnagar-800410",2930881885726,604139368589,Block5,Low,Varsha,412325657731,Son,6,Madhavi,495016991875,Son,39,,,,,,,,,,,,,1,1,1,4,3,3,5,5,2,2,3,3,1,1,1,1,1,1,3,3,Yes,-14.29,2,1,0,0,1
RAT10013,Oviya Karpe,30,Female,"07/592, Madan Ganj, Morbi 195305",2407306536838,792447440677,Block4,High,Jagdish,540818583997,Spouse,46,Varsha,329311784464,Spouse,4,Upasna,104201438602,Son,57,Warhi,908604292707,Daughter,45,,,,,2,2,4,7,2,2,2,2,1,1,2,2,4,4,1,1,1,3,3,3,Yes,-22.73,4,1,0,1,1
RAT10014,Eiravati Gill,42,Female,"226, Kapoor Nagar, Ambarnath-031139",9963802099871,338322387460,Block2,Low,Aarna,743481325808,Spouse,36,Xalak,306707295278,Daughter,59,Shravya,243218139113,Son,57,,,,,,,,,1,1,2,2,4,4,4,4,4,5,5,5,4,7,2,2,2,5,4,4,No,-21.88,3,1,0,0,1
RAT10015,Wahab Suri,64,Male,"08/440, Dugar Path, Raebareli 586601",8295980992255,949211934094,Block4,Low,,,,,,,,,,,,,,,,,,,,,4,4,5,5,1,2,2,2,4,6,4,4,3,3,5,5,2,2,1,1,No,-9.68,0,1,0,0,1
RAT10016,Dalbir Shah,39,Male,"739, Madan Circle, Aligarh-205993",4374765317755,538366458220,Block1,Low,Nisha,746042082676,Spouse,10,Hardik,247302120107,Spouse,30,,,,,,,,,,,,,3,3,2,2,4,4,4,4,3,3,4,4,3,3,3,3,5,5,3,3,Yes,0.0,2,0,0,0,1
RAT10017,Veda Edwin,52,Female,"69/52, Pillay Chowk, Danapur-546228",9213142561168,718016552378,Block5,Low,,,,,,,,,,,,,,,,,,,,,3,4,1,1,3,3,3,3,1,2,5,5,5,5,4,4,1,1,1,1,No,-7.41,0,1,0,0,1
RAT10018,Atharv Som,64,Female,"40/74, Golla Street, Morbi-514459",8744461754859,946596779097,Block1,Low,,,,,,,,,,,,,,,,,,,,,5,8,4,4,1,1,3,3,3,4,2,2,1,1,5,5,4,4,3,3,No,-12.9,0,1,0,0,1
RAT10019,Manan Dyal,61,Male,"H.No. 48, Sangha Nagar, Gopalpur-248549",9559097310096,679200612278,Block3,High,Simon,447796156692,Son,14,Darpan,934225755433,Daughter,2,Farhan,230858719001,Parent,19,,,,,,,,,1,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,2,2,5,5,No,-20.83,3,1,0,0,1
RAT10020,Yauvani Divan,54,Male,"H.No. 868, Ahuja Marg, Sangli-Miraj & Kupwad-669987",3681195296594,614486139893,Block3,Medium,,,,,,,,,,,,,,,,,,,,,3,4,3,3,5,5,2,2,2,2,1,1,1,1,1,1,4,7,4,4,Yes,-15.38,0,1,0,0,1
RAT10021,Aarnav Pradhan,63,Male,"H.No. 893, Nayak, Sasaram-262806",2016286272400,902414123102,Block2,High,Yasti,143611591719,Daughter,8,Hamsini,255045111659,Parent,44,Udarsh,453534642416,Daughter,41,Aishani,298783999601,Son,31,,,,,4,5,1,1,3,3,5,5,5,5,3,3,1,1,5,5,3,3,1,3,Yes,-9.68,4,1,0,1,1
