Ration_ID,Aadhaar_ID,Phone_No,Name,Age,Gender,Address,Income_Level,Subsidy_Availed,Num_Dependents,Dependent1_Name,Dependent1_Age,Dependent1_Relation,Dependent1_Aadhaar,Dependent2_Name,Dependent2_Age,Dependent2_Relation,Dependent2_Aadhaar,Dependent3_Name,Dependent3_Age,Dependent3_Relation,Dependent3_Aadhaar,Dependent4_Name,Dependent4_Age,Dependent4_Relation,Dependent4_Aadhaar,Dependent5_Name,Dependent5_Age,Dependent5_Relation,Dependent5_Aadhaar,Wheat_Entitled,Wheat_Claimed,Rice_Entitled,Rice_Claimed,Kerosene_Entitled,Kerosene_Claimed,Sugar_Entitled,Sugar_Claimed,Salt_Entitled,Salt_Claimed,SoyabeanOil_Entitled,SoyabeanOil_Claimed,PalmOil_Entitled,PalmOil_Claimed,Masoor_Entitled,Masoor_Claimed,Moong_Entitled,Moong_Claimed,Chana_Entitled,Chana_Claimed,Total_Entitlement,Total_Claimed,Claimed_vs_Entitled_Percent,Fraud_Label,Remarks,Duplicate_Aadhaar_Flag,duplicate_rationID_flag,Duplicate_Mobile_Flag,Income_Subsidy_Mismatch,Over_Claim_Flag,Dep_Fraud,Age_Fraud
2026855092,403832645883,7339670711,Aryan Maharaj,23,Male,"181, Sami, Ludhiana-338908",High,Yes,9,Rushil,55.0,Son,198912225902.0,Oni,28.0,Daughter,763595448017.0,Thomas,4.0,Father,886833016361.0,Saumya,84.0,Father,342319992484.0,Arunima,58.0,Father,990253050256.0,100,114.77,80,88.28,20,17.28,20,19.38,5.0,4.56,10,8.86,10,11.05,7.5,6.31,7.5,7.14,7.5,7.08,267.5,284.71,106.43,1,High-income household availing subsidy; Overclaim detected beyond entitled quota; Dependents exceed legal limit,0,0,0,1,1,1,0
6648245888,985899371430,6883543540,Nathaniel Sami,64,Male,"351, Rai Zila, Secunderabad 940781",Medium,Yes,8,Kritika,38.0,Father,732913403120.0,Farhan,25.0,Son,826046287257.0,Chaaya,30.0,Spouse,190130840140.0,Janaki,30.0,Son,406575307735.0,Rehaan,59.0,Spouse,504425519849.0,90,84.79,72,76.9,18,19.45,18,19.32,4.5,3.73,9,9.49,9,9.12,6.75,6.06,6.75,6.65,6.75,6.13,240.75,241.64,100.37,1,Duplicate Aadhaar detected; Overclaim detected beyond entitled quota; Dependents exceed legal limit,1,0,0,0,1,1,0
9235809993,459422681391,6345938494,Chakradev Kari,111,Male,"164, Patla Chowk, Uluberia 341928",Medium,No,4,Yash,9.0,Daughter,446680801999.0,Nihal,28.0,Mother,808302588517.0,Turvi,59.0,Daughter,251461507038.0,Ladli,32.0,Father,390077698664.0,0,0.0,0,0.0,50,54.94,40,38.85,10,10.33,10,9.45,2.5,3.0,5,4.28,5,4.99,3.75,4.13,3.75,4.29,3.75,3.23,133.75,137.49,102.8,1,Overclaim detected beyond entitled quota,0,0,0,0,1,0,0
3850488739,566779112532,6513140753,Theodore Nair,54,Female,"H.No. 564, Kakar Zila, Rajpur Sonarpur 672423",High,No,8,Adya,2.0,Son,926939990836.0,Priya,35.0,Spouse,422601660137.0,Mohini,56.0,Daughter,101948728483.0,Janaki,34.0,Father,296546131054.0,Theodore,65.0,Son,790933616150.0,90,82.74,72,76.0,18,18.78,18,15.5,4.5,4.97,9,9.14,9,10.0,6.75,6.83,6.75,5.4,6.75,6.28,240.75,235.64,97.88,1,Dependents exceed legal limit,0,0,0,0,0,1,0
1120117054,499127439409,8357109965,Yashodhara Tak,13,Male,"H.No. 226, Bhatt, Eluru 848018",High,Yes,1,Amara,63.0,Son,937424066816.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,20.26,16,13.6,4,4.26,4,4.71,1.0,0.87,2,2.02,2,2.09,1.5,1.78,1.5,1.76,1.5,1.65,53.5,53.0,99.07,1,Duplicate Aadhaar detected; High-income household availing subsidy,1,0,0,1,0,0,0
4765523129,539425475482,8570406376,Isaac Memon,121,Female,"04, Gokhale Circle, Bihar Sharif-252880",Low,Yes,3,Ekiya,9.0,Spouse,744335435865.0,Vrinda,71.0,Daughter,343045499634.0,Anirudh,1.0,Son,794529888366.0,0,0.0,0,0.0,0,0.0,0,0.0,40,32.94,32,26.46,8,6.5,8,7.46,2.0,2.01,4,3.65,4,3.98,3.0,3.05,3.0,3.27,3.0,3.46,107.0,92.78,86.71,0,0,0,0,0,0,0,0,0
8260916298,623060957599,9304451095,Janani Mohanty,18,Male,"911, Biswas Chowk, Warangal-824896",High,No,5,Siddharth,55.0,Mother,158965931802.0,Sai,87.0,Son,542641960943.0,Devika,44.0,Son,311521368324.0,Mohini,25.0,Father,252250635901.0,Kashvi,55.0,Daughter,608002483225.0,60,54.0,48,56.13,12,11.73,12,13.73,3.0,3.06,6,4.92,6,7.2,4.5,5.1,4.5,5.34,4.5,5.27,160.5,166.48,103.73,1,Overclaim detected beyond entitled quota,0,0,0,0,1,0,0
4178575192,634321479802,9329509408,Zansi Seth,116,Female,"150, Karpe, Chennai 031051",Low,Yes,6,Yoshita,1.0,Mother,962361016774.0,Wazir,59.0,Spouse,866320981994.0,Arya,72.0,Mother,306823277527.0,Vedika,38.0,Daughter,164290117190.0,Tanish,75.0,Father,920600564299.0,70,64.78,56,45.92,14,13.87,14,16.35,3.5,3.54,7,5.76,7,7.02,5.25,5.99,5.25,4.34,5.25,4.34,187.25,171.91,91.81,0,0,0,0,0,0,0,0,0
4433550699,726594012825,7721609600,Urvashi Kibe,82,Male,"116, Sampath Path, Bhind-106513",High,Yes,6,Rehaan,85.0,Father,673658281523.0,Ranveer,41.0,Spouse,835316694200.0,Saumya,41.0,Daughter,534932502545.0,Logan,17.0,Spouse,445561148277.0,Pahal,10.0,Son,784868121383.0,70,83.96,56,67.11,14,11.61,14,12.39,3.5,3.17,7,8.21,7,8.07,5.25,6.05,5.25,4.98,5.25,4.53,187.25,210.08,112.19,1,High-income household availing subsidy; Overclaim detected beyond entitled quota,0,0,0,1,1,0,0
9755420240,771314199398,6817112652,Arya Shere,110,Female,"81, Zachariah Nagar, Tiruchirappalli-267736",High,Yes,2,Daniel,34.0,Son,219785403991.0,Nitesh,71.0,Daughter,410407371993.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,31.26,24,26.09,6,5.29,6,6.32,1.5,1.36,3,2.99,3,3.49,2.25,2.56,2.25,1.88,2.25,2.18,80.25,83.42,103.95,1,High-income household availing subsidy; Overclaim detected beyond entitled quota,0,0,0,1,1,0,0
